ID,MARCA,MODELO,SINTOMA,DESCARTE / CAUSA,SOLUCION,MARCA_LIMPIA,TIPO
1,Samsung,UN40J5200,Falla de parpadeo. No enciende.,Medir D8501.,Reemplazo de diodo.,Samsung,LCD/LED
2,Samsung,Blu-ray Smart,"Bloqueo en logotipo (""Logo loop""). El equipo presenta reinicios cíclicos o congelamiento en la pantalla de inicio.","Prueba Dinámica: Ejecutar procedimiento de ""Cold Start"" manteniendo presionada la tecla física ""STOP"" por más de 5 segundos hasta visualizar el mensaje de confirmación ""INIT"" en el display frontal.","Restablecer parámetros de fábrica para inicializar el Smart Hub; en casos críticos, emular el código de reset mediante microcontrolador (ATmega328 o PIC16F84) para forzar el desbloqueo del sistema.",Samsung,LCD/LED
3,Samsung,Series HD/Full HD: Ausencia de audio con barra de volumen operativa.,"Visualización de la barra de volumen en pantalla, pero sin salida sonora por altavoces; el sistema muestra el ícono de audífonos activo permanentemente.",Prueba Dinámica: Ingresar al Service Mode (Info + Factory) y navegar a Control -> Sub Options.,"Configurar ""Fast Boot in Production"" y ""UART Enable"" en estado ""OFF"" (desactivar depuración por USB). Adicionalmente, validar que el parámetro ""Type"" sea el correcto, ya que su desconfiguración altera la lógica del chipset de audio.",Samsung,LCD/LED
4,Samsung,Smart TV,Puertos HDMI sin detección de señal (Corrupción de datos EDID). Los puertos HDMI no reconocen dispositivos externos a pesar de la integridad física de los conectores.,"Prueba Dinámica: Acceder a la ruta SVS/Control -> Edit en el menú de servicio, activar ""Edit On/Off"" (valor 1) y ejecutar la reescritura hasta obtener el mensaje ""Success"".","Reprogramación de la EEPROM interna de los puertos. A diferencia del método LG (ADJ -> EDID D/L), Samsung requiere forzar el re-flash exclusivamente a través de la ruta SVS.",Samsung,LCD/LED
5,Samsung,Series 4K (MU/NU/RU).,El televisor no inicia; LED de standby fijo o nulo.,"Prueba Dinámica: Medir 13V en el conector de la fuente (8-9V en standby, 13V en ON) y 3.3V en el sensor IR. Es imperativo verificar mediante consola UART (interfaz CP2102/CH341) el log de arranque; si el parámetro ""SEC"" se visualiza en ""SEC 0"" en lugar de ""SEC 1"", se confirma corrupción de datos.  Fallo de encendido (Fallo en etapa de arranque/Boot-loop).",Reprogramar la memoria SPI Flash 25Q40 (gestión de arranque del SoC) y verificar la integridad de la 25Q80 (configuración del panel).,Samsung,LCD/LED
6,Samsung,"Series 43K/43J/50""",Fallas recurrentes en tiras LED por sobrecorriente. Protección de Backlight y optimización térmica.,Prueba Dinámica: Medir el consumo en miliamperios (mA) en la línea positiva del driver LED; el valor nominal suele ser de 783 mA.,"Acceder a ""Option -> MRT Option"" o utilizar el acceso directo ""Key 10"" en el control de servicio especializado para reducir la corriente a niveles de ahorro (aprox. 489 mA), extendiendo la vida útil del componente.",Samsung,LCD/LED
7,Samsung,,El televisor entra en un bucle de reinicio cada 4 segundos (Power-loop); el SoC se protege ante un sobreconsumo detectado en la T-CON o Panel.,Protección por cortocircuito en Gate Drivers (Líneas CKV).Prueba Dinámica: Realizar la desconexión alterna de los flexores (Side A y Side B) para identificar el sector del panel con el cortocircuito interno.,Aplicar el método de enmascaramiento selectivo de señales de reloj (CKV1-CKV6) y voltajes de polarización (VGH/VGL) en el flexor del lado defectuoso para anular los drivers de puerta dañados.,Samsung,LCD/LED
8,Samsung,Smart TV,"Tras el cambio de la placa principal, la imagen se muestra fuera de límites o con trama incorrecta.","(Post-reemplazo de Main): Geometría desajustada o imagen con zoom. Prueba Dinámica: Comparar el valor ""Type"" seteado en el Service Mode contra el código impreso en la etiqueta de la estructura metálica del panel (sticker interno). No utilizar la etiqueta de la tapa trasera.","Configurar el código ""Type"" correcto para definir la profundidad de bits (8-bit vs 10-bit), tecnología de transmisión (LVDS/V-by-One) y frecuencia de refresco (60Hz/120Hz) específicas del hardware.",Samsung,LCD/LED
9,Samsung,Smart TV.,Visualización de líneas verticales/horizontales o imagen solarizada por errores de direccionamiento.,Distorsión de imagen o patrones de líneas (Falla de T-CON). Prueba Dinámica: Navegar en el menú de servicio a SVS -> Plate Tool.,Forzar la actualización de la Data Gamma y el firmware de los Micom de la placa de control (T-CON) para restablecer la integridad de la EEPROM interna y corregir la distorsión cromática.,Samsung,LCD/LED
10,Samsung,BN41-02528.,Síntoma: El televisor permanece inoperante sin respuesta a la orden de Power.,Intento de recuperación mediante carga de dump BN41-02528 en sector de arranque. Prueba Dinámica: Verificación de comunicación SPI tras escritura.,Archivo incompatible para la revisión del procesador; se requiere dump alternativo.,Samsung,LCD/LED
11,Samsung.,IC 604.,Equipo bloqueado con presencia de LED de Stand By.,Validación de datos en la posición de circuito IC 604 (25q40). Prueba Dinámica: Lectura y comparación de Checksum del archivo cargado.,Fallo en la activación del ciclo de inicio; el archivo probado no disparó el proceso de arranque del microprocesador.,Samsung,LCD/LED
12,Samsung,BN41-02635:,Inoperatividad total inicial. Prueba Dinámica.,Restauración mediante técnica de compatibilidad cruzada con dump de placa distinta. Prueba Dinámica: Sobrescritura de la memoria 25q40 con archivo BN41-02635 y validación de Checksum.,Recuperación exitosa del sistema; el firmware permitió la inicialización del SoC y el arranque completo.,Samsung,LCD/LED
13,Samsung,"Serie UN-NU / UN-RU (49"", 50"", 55"")",Reinicio o rayas horizontales. Causa: 90% daño interno del panel LCD.,,Anular líneas CKV.,Samsung,LCD/LED
14,Samsung,58TU 7000/8000:,Activación del modo de prueba T-CON Ready. El televisor se reinicia cíclicamente o no presenta video.,Prueba Dinámica: Desconectar flex de datos/voltaje al panel y realizar puente entre puntos de prueba TR de Y1 y TR de Y3; medir 15V en pin 1 del conector y 3.2V en puntos de prueba.,Cerrar circuito Y1-Y3 para verificar estado operativo de la Mainboard y el conversor DC-DC.,Samsung,LCD/LED
15,Samsung,58TU 7000/8000:,Falla de activación del conversor DC-DC por protección.,Ausencia de los 3.2V en puntos de prueba Y1/Y3 tras realizar el puente. Prueba Dinámica: Medir voltaje en los puntos de prueba TR de la placa principal.,"Retirar el diodo zener de protección ubicado en la parte inferior de la placa, cerca del conector de la fuente.",Samsung,LCD/LED
16,Samsung,58TU 6900/7000/8000:,Identificación de sector afectado (Descarte). Protección por cortocircuito interno en el panel.,"Prueba Dinámica: Con modo T-CON Ready activo, desconectar alternadamente los sectores izquierdo y derecho del panel; esperar un tiempo de 2 a 5 minutos para confirmar estabilidad.",Aislar el sector que genera el reinicio para proceder con la anulación de señales.,Samsung,LCD/LED
17,Samsung,58TU 7000/8000:,Protección por exceso de voltaje VGH (Estrés Térmico). El televisor se protege o presenta deterioro acelerado del panel.,Prueba Dinámica: Medir VGH original (24V) y verificar si el equipo se sostiene al disminuirlo.,Retirar resistencia de paso de VGH e instalar un conversor DC-DC (Boot Converter) regulado a 18V-19V para alimentar el panel de forma estable.,Samsung,LCD/LED
18,Samsung,58TU 8000,Interferencia por señales de reloj en corto. Reinicio persistente o imagen con interferencia visual.,Prueba Dinámica: Evaluación visual de la estabilidad tras aislar sectores.,"Realizar corte de líneas CK (1 al 8) por encima de los puntos de prueba; si la falla persiste, conectar los puntos TR (entrada al panel) a tierra (GND).",Samsung,LCD/LED
19,Samsung,58TU 6900/7000/8000:,Falla crítica de reinicio por VSS (BSS). El equipo continúa reiniciándose tras anular las señales CK.,Prueba Dinámica: Verificación de estabilidad post-corte de CK.,Anular la línea VSS (adyacente a VGH) realizando el corte antes del punto de paso (trujol) para asegurar la desconexión total del voltaje hacia el panel.,Samsung,LCD/LED
20,Samsung,58TU 8000:,"Síntoma: Imagen con tonalidad lavada, blanca o con ""desgarramiento"" oscuro en el sector recuperado.",Medir VSS e inyectar voltajes de referencia.,Inyectar 6V (tomados de condensadores de 6.8V) en la línea VSS del panel; inyectar entre 14V y 15V en la línea VGH del sector afectado para igualar el color.,Samsung,LCD/LED
21,Samsung,58TU 6900/7000/8000:,Síntoma: Imagen con problemas de corrector de gama (muy blanca) tras intervenir el sector derecho.,Observar si el sector izquierdo se sostiene solo pero presenta imagen blanca al intentar recuperar el derecho.,Reconstruir pistas del sector derecho y realizar la reparación (anulación de VSS/CK) en el sector izquierdo.,Samsung,LCD/LED
22,Samsung,55DU7000K.,"Enciende directo con solo conectar a la AC.  No hay vídeo, no hay audio, no apaga del remoto, si hay backlight.",No hay voltaje de 12 en los conversores DC/DC en la Mainboard.,Se encontró fusible abierto en la fuente DC/DC cerca al IC204 y un condensador SMD en corto circuito.,Samsung,LCD/LED
23,"43"" Genérico LED: Interrupción de circuito en retroiluminación.",,"Pantalla negra con sonido funcional. Prueba Dinámica: Realizar ""Torch test"" para confirmar imagen tenue y medir V-out en el driver LED.",,Reemplazo de tiras LED en serie.,Genericos/Chinos,LCD/LED
24,"49"" Edge LED: Agotamiento de diodos en bordes.",,Esquinas oscuras y falta de uniformidad lumínica. Prueba Dinámica: Comprobación de tiras laterales con LED tester y verificación de alineación de la placa LGP.,,Reemplazo de tiras Edge LED y realineación de hojas difusoras.,Genericos/Chinos,LCD/LED
25,"55"" Genérico LED: Oxidación en vínculo de señales (COF).",,Líneas verticales en la mitad izquierda de la pantalla. Prueba Dinámica: Aplicar calor controlado (aire caliente) sobre el COF para observar cambios temporales y medir rieles de la T-CON.,,Reemplazo de panel por falla de unión (bonding).,Genericos/Chinos,LCD/LED
26,"49"" Genérico LED: Desprendimiento de controlador de columna.",,Línea vertical única en el sector derecho. Prueba Dinámica: Test de OSD para descartar Main Board y aplicar presión mecánica leve en los bordes del cristal.,,Reemplazo de panel (daño estructural en COF).   27.=================================,Genericos/Chinos,LCD/LED
28,"55"" Samsung LED: Inestabilidad de señales de direccionamiento.",,Parpadeo (flickering) en la mitad de la pantalla. Prueba Dinámica: Inspección visual de vínculos COF y descarte de voltajes de la placa T-CON.,,Reemplazo total del panel,Samsung,LCD/LED
29,Genérico LED TV: Ausencia de señales de datos (White Screen).,,Pantalla blanca total sin imagen ni menús. Prueba Dinámica: Medir continuidad de fusible T-CON y presencia de voltajes de conmutación VGH/VGL.,,Limpieza de cables LVDS o reemplazo de placa T-CON.,Genericos/Chinos,LCD/LED
30,Genérico LED TV: Cortocircuito en drivers de fila.,,"Líneas horizontales estáticas o parpadeantes. Prueba Dinámica: Medición de rieles VGH, VGL y AVDD; inspección de ribbons de salida de T-CON.",,Aislamiento por método de cinta Kapton o reemplazo de panel,Genericos/Chinos,LCD/LED
37,SONY,KDL-32M3000,Imagen lenta y rojiza.,Se descarta T-CON y Mainboard.Falta VGH en COF lateral por pistas internas rotas.,Jumper desde T-CON a COF.,Sony,LCD/LED
38,Samsung,58TU 6900/7000/8000.,Se reinicia.,"Desconecto las cintas Flex, y continua reiniciando.",Necesito un video explicativo.  === SECCIÓN GENÉRICOS ===,Samsung,LCD/LED
